Supplier_Name,Region,Country,Functions,Service,Avg_Cost,Rating,Average_Delivery_Time,Number_of_Escalations,Years,Resources
Genpact,NULL,US,ITandInfrastructure,S5,115000,94,210,30,2018,5000
Capgemini,LM,India,testing,S2,150000,91,270,50,2020,10000
Capgemini,LM,France,testing,S6,175000,97,100,45,2022,6000
Accenture,AB,India,Finance,S1,175000,89,135,50,2016,6000
IBM,NULL,UK,consulting,S4,150000,93,135,15,2019,8000
Zogho,XY,US,testing,S2,165000,98,100,25,2016,3000
Accenture,AB,Australia,testing,S2,100000,75,210,30,2018,3000
Oracle,PQ,UK,Finance,NULL,150000,95,180,45,2018,7000
Infosys,XY,UK,ITandInfrastructure,S1,165000,85,180,15,2020,5000
Wipro,NULL,Germany,RandD,S3,150000,90,120,20,2016,7000
Oracle,XY,Japan,ITandInfrastructure,S3,200000,100,135,35,2018,5000
Wipro,BC,France,testing,S4,115000,83,180,30,2022,10000
Infosys,XY,Canada,testing,NULL,115000,94,180,30,2017,10000
Zogho,BC,Japan,ITandInfrastructure,S3,200000,82,270,40,2016,8000
Zogho,XX,UAE,NULL,S2,100000,76,150,15,2020,5000
IBM,XY,Japan,RandD,S1,200000,97,100,40,2019,3000
IBM,NULL,Canada,Finance,S7,125000,73,210,30,2021,8000
Wipro,LM,France,consulting,S2,125000,73,120,45,2018,4000
IBM,PQ,Australia,consulting,S3,125000,71,270,50,2021,10000
Capgemini,NN,Japan,consulting,S2,200000,70,150,35,2020,8000
Capgemini,XY,UAE,NULL,S4,125000,78,270,25,2021,9000
Oracle,LM,UK,consulting,S5,115000,86,270,45,2018,10000
Wipro,NULL,India,RandD,S4,165000,93,100,15,2019,9000
Infosys,XX,India,testing,NULL,200000,70,210,35,2017,3000
Wipro,NULL,Canada,ITandInfrastructure,S3,100000,89,120,50,2017,6000
Capgemini,XX,Canada,administration,S6,175000,73,270,35,2020,7000
TATA,AB,France,testing,S2,150000,86,180,50,2018,10000
Genpact,AB,Germany,testing,NULL,175000,99,150,20,2021,8000
Infosys,NULL,US,administration,S7,165000,90,100,40,2020,9000
TATA,NN,Germany,testing,NULL,150000,77,180,30,2016,4000
Accenture,XX,UK,Finance,S5,200000,76,120,35,2016,6000
Infosys,PQ,Germany,ITandInfrastructure,S1,150000,90,180,35,2018,3000
Zogho,NN,US,Finance,S3,125000,98,180,35,2018,9000
Oracle,BC,Japan,RandD,NULL,125000,72,120,50,2019,7000
Zogho,PQ,UAE,ITandInfrastructure,S2,200000,87,100,40,2018,9000
Wipro,BC,Japan,Finance,S4,175000,80,150,30,2019,10000
Capgemini,BC,India,ITandInfrastructure,NULL,175000,77,210,25,2022,10000
Capgemini,AB,India,testing,S7,100000,94,100,15,2021,6000
TATA,NULL,Germany,NULL,S2,150000,87,135,35,2020,3000
Capgemini,NN,US,NULL,S7,115000,83,150,25,2017,10000
Genpact,NN,UAE,Finance,S2,100000,81,210,30,2017,4000
Oracle,XX,UAE,HR,S5,115000,94,135,25,2020,6000
Infosys,XX,Canada,consulting,S7,165000,76,150,20,2019,10000
Oracle,PQ,Germany,testing,S7,165000,92,150,15,2020,10000
IBM,BC,UK,HR,S6,150000,90,135,50,2020,9000
Accenture,XY,France,administration,S4,150000,83,150,40,2018,7000
Genpact,PQ,Australia,NULL,S6,175000,70,210,20,2021,9000
Infosys,NULL,India,ITandInfrastructure,S4,115000,75,210,35,2018,6000
Accenture,XX,UK,HR,S7,115000,83,180,50,2016,3000
Zogho,NULL,Japan,Finance,S1,165000,72,100,15,2018,10000
Genpact,XY,UK,NULL,S7,165000,83,180,30,2021,9000
Accenture,LM,Australia,NULL,S4,175000,95,120,50,2020,10000
Genpact,PQ,India,HR,S6,100000,93,210,20,2019,8000
TATA,XX,Germany,ITandInfrastructure,S5,165000,71,180,25,2020,4000
Infosys,NULL,India,ITandInfrastructure,S4,115000,86,100,15,2017,4000
Wipro,XX,Germany,HR,S2,200000,81,270,25,2019,3000
Genpact,NULL,UK,ITandInfrastructure,S7,150000,80,100,15,2018,6000
TATA,LM,Australia,ITandInfrastructure,NULL,150000,99,210,35,2020,5000
Genpact,NN,Germany,ITandInfrastructure,S3,165000,87,150,30,2016,5000
Capgemini,NULL,Germany,consulting,S7,165000,87,150,35,2018,7000
Genpact,AB,UAE,NULL,S3,100000,91,270,25,2020,4000
Capgemini,BC,UK,HR,NULL,150000,80,100,30,2016,3000
Zogho,AB,UAE,HR,S2,165000,71,135,15,2019,10000
Genpact,NULL,UK,administration,S2,100000,77,120,40,2016,4000
Oracle,PQ,UK,RandD,S7,200000,97,150,30,2021,9000
Accenture,XY,India,HR,S1,165000,79,270,30,2018,10000
IBM,NN,Germany,RandD,S6,165000,70,120,35,2019,10000
HCL,PQ,UAE,administration,S3,100000,87,270,35,2020,3000
Capgemini,AB,UAE,consulting,S7,125000,70,135,35,2019,10000
Infosys,PQ,UK,consulting,NULL,175000,73,180,20,2019,7000
Zogho,NN,Japan,HR,S5,200000,89,210,35,2021,7000
IBM,NN,Australia,RandD,S4,100000,82,210,50,2016,8000
Wipro,XY,UK,testing,S1,115000,91,120,45,2022,5000
Zogho,LM,Germany,testing,S2,150000,99,135,25,2020,9000
TATA,NULL,Australia,ITandInfrastructure,S7,100000,83,210,15,2022,9000
Oracle,XX,Canada,ITandInfrastructure,S6,200000,100,150,30,2017,5000
Infosys,XY,UK,RandD,S6,200000,78,180,25,2017,5000
Oracle,PQ,UAE,HR,S5,175000,76,270,25,2016,10000
Oracle,AB,Canada,Finance,NULL,175000,81,210,50,2020,10000
Capgemini,NULL,Japan,testing,S5,200000,84,135,15,2018,4000
Zogho,NN,UAE,consulting,S2,125000,71,270,20,2016,5000
Genpact,NULL,Japan,consulting,S4,150000,75,135,50,2017,3000
HCL,BC,Japan,consulting,NULL,115000,96,210,35,2019,10000
Infosys,AB,Japan,testing,S3,165000,80,150,50,2017,4000
TATA,LM,France,NULL,NULL,100000,98,100,30,2022,7000
TATA,LM,Canada,NULL,S5,150000,77,270,30,2019,8000
Capgemini,XX,UK,HR,S1,115000,74,135,30,2022,3000
IBM,NULL,France,HR,NULL,125000,88,120,15,2017,7000
Wipro,BC,France,RandD,S1,115000,81,100,50,2021,10000
HCL,AB,US,administration,S7,100000,78,180,50,2019,6000
Capgemini,XX,Australia,NULL,S3,100000,70,120,15,2016,8000
HCL,PQ,India,ITandInfrastructure,S6,115000,87,270,20,2016,10000
Wipro,PQ,Canada,testing,S5,150000,94,135,25,2017,7000
HCL,LM,France,testing,S3,165000,74,135,40,2017,6000
Oracle,XY,UK,testing,NULL,175000,88,150,50,2018,8000
Infosys,NULL,UAE,testing,S3,100000,99,150,45,2018,7000
Zogho,AB,UAE,NULL,S5,100000,85,100,50,2019,3000
Accenture,BC,UAE,HR,S6,175000,70,270,35,2022,3000
Wipro,AB,Canada,ITandInfrastructure,S4,100000,88,210,45,2019,5000
Zogho,XY,Canada,RandD,S1,165000,73,135,15,2019,9000
IBM,XX,Germany,consulting,S7,175000,89,180,45,2021,7000
IBM,PQ,US,NULL,NULL,150000,86,270,30,2016,6000
Wipro,XY,Japan,RandD,S7,165000,88,150,15,2022,9000
HCL,NN,France,consulting,S7,150000,93,150,45,2020,8000
Oracle,BC,Japan,testing,S2,125000,83,270,45,2018,8000
Zogho,PQ,India,ITandInfrastructure,S3,150000,82,120,20,2017,8000
Zogho,XY,UAE,RandD,S4,150000,94,100,40,2019,10000
Infosys,XY,UK,administration,S7,115000,70,120,35,2018,8000
TATA,NN,UAE,RandD,S2,175000,90,100,50,2022,3000
Genpact,AB,UAE,consulting,S3,125000,87,180,40,2020,4000
Infosys,NULL,UAE,testing,S7,165000,99,120,25,2016,5000
Capgemini,XX,Japan,ITandInfrastructure,NULL,175000,93,210,40,2018,5000
TATA,XY,UAE,RandD,S6,125000,98,135,25,2019,6000
Zogho,XY,Germany,RandD,S5,165000,73,150,15,2016,7000
Wipro,XX,Canada,ITandInfrastructure,S4,175000,100,100,35,2016,5000
Genpact,XX,France,NULL,S5,150000,98,100,35,2019,10000
Oracle,AB,France,testing,S3,115000,82,135,45,2018,8000
IBM,NN,Canada,Finance,S5,175000,93,120,50,2019,5000
Oracle,AB,Australia,NULL,S6,150000,73,210,45,2021,3000
Zogho,LM,India,HR,S7,200000,74,180,50,2021,4000
Wipro,BC,Australia,HR,S1,115000,89,100,45,2016,4000
Accenture,NN,UK,Finance,S3,165000,84,180,30,2021,6000
Wipro,XY,Japan,NULL,S3,100000,99,180,15,2022,6000
TATA,LM,UK,RandD,NULL,175000,90,120,30,2018,7000
Oracle,NN,France,administration,NULL,175000,83,150,45,2021,10000
Wipro,LM,UK,RandD,S4,100000,70,210,45,2017,3000
TATA,XY,France,consulting,S4,125000,90,120,35,2021,7000
TATA,NN,India,Finance,S4,115000,94,180,20,2020,4000
Oracle,XX,France,NULL,S1,115000,89,270,35,2022,3000
Wipro,XY,UK,HR,S7,175000,89,135,50,2017,10000
Capgemini,AB,Japan,administration,S7,150000,75,180,15,2017,5000
Infosys,NULL,Canada,testing,S7,150000,80,270,30,2022,3000
