Supplier_Name,Region,Country,Functions,Service,Avg_Cost,Rating,Average_Delivery_Time,Number_of_Escalations,Years,Resources
IBM,LM,Germany,HR,S6,165000,74,135,30,2016,7000
IBM,PQ,Germany,consulting,S5,100000,78,210,20,2018,7000
Oracle,LM,UK,NULL,S3,175000,79,120,20,2017,6000
Wipro,BC,UK,Finance,S7,100000,88,270,40,2018,3000
Zogho,XY,France,Finance,S7,125000,82,150,40,2019,10000
Oracle,XX,Australia,Finance,S4,165000,75,135,35,2018,5000
Wipro,AB,UK,administration,S5,125000,74,135,15,2016,9000
HCL,AB,Japan,RandD,S5,150000,92,180,15,2021,7000
Capgemini,LM,Australia,ITandInfrastructure,S3,100000,87,210,20,2017,4000
Genpact,AB,UAE,NULL,S3,125000,74,150,15,2022,6000
Accenture,NULL,India,testing,S3,150000,100,270,30,2017,9000
Infosys,XX,UK,consulting,NULL,115000,82,100,50,2022,8000
TATA,AB,France,RandD,S1,115000,89,135,30,2017,5000
Wipro,XX,Germany,HR,S7,150000,86,180,25,2020,9000
Accenture,BC,India,Finance,S5,165000,92,270,15,2019,4000
TATA,AB,UAE,ITandInfrastructure,S5,150000,84,100,25,2021,8000
Infosys,NULL,Germany,consulting,S3,165000,94,270,35,2021,3000
IBM,AB,Germany,NULL,S4,125000,87,270,20,2017,8000
Oracle,AB,Japan,Finance,S3,115000,90,270,50,2018,6000
Zogho,AB,UAE,RandD,S5,200000,75,210,30,2022,6000
Genpact,AB,UAE,RandD,S4,100000,93,120,20,2019,10000
Zogho,BC,Australia,NULL,S3,175000,87,150,35,2022,5000
Infosys,PQ,UAE,administration,S1,165000,89,135,15,2021,3000
Genpact,NN,US,HR,S3,115000,90,100,40,2020,7000
IBM,LM,Australia,testing,S5,200000,76,120,20,2016,5000
Accenture,AB,India,Finance,S6,115000,71,100,50,2016,7000
IBM,NULL,France,administration,S6,175000,75,210,50,2016,8000
Zogho,AB,US,Finance,S1,100000,92,150,40,2018,6000
Oracle,XX,India,administration,S7,150000,92,150,35,2017,9000
Oracle,BC,UAE,administration,S6,175000,79,180,45,2016,6000
Genpact,AB,Canada,NULL,S1,115000,78,210,45,2021,4000
Infosys,PQ,Japan,RandD,NULL,115000,91,270,35,2021,8000
Infosys,AB,US,ITandInfrastructure,NULL,125000,90,120,40,2018,6000
Zogho,XY,Japan,consulting,S1,200000,81,210,40,2022,5000
Infosys,AB,US,administration,S3,175000,78,180,40,2018,9000
Wipro,NN,US,HR,S2,125000,80,150,40,2017,10000
TATA,NULL,US,consulting,S2,175000,87,135,30,2017,5000
Accenture,NULL,UAE,consulting,S4,115000,94,150,45,2016,8000
Oracle,AB,India,Finance,NULL,150000,89,120,15,2021,7000
IBM,PQ,Australia,Finance,S5,165000,97,270,45,2020,3000
IBM,NN,India,consulting,NULL,175000,83,180,25,2021,9000
Genpact,AB,UK,administration,S7,165000,80,270,20,2017,5000
TATA,LM,India,testing,S2,200000,91,210,30,2016,4000
HCL,LM,US,testing,S7,175000,90,120,40,2016,6000
HCL,AB,UAE,ITandInfrastructure,S3,125000,84,100,50,2017,3000
IBM,AB,UK,RandD,NULL,125000,73,270,50,2020,7000
Wipro,NN,UK,NULL,S4,115000,92,120,15,2019,6000
Infosys,XY,India,consulting,S1,150000,85,100,15,2020,3000
Oracle,AB,UAE,NULL,S4,125000,70,135,15,2019,10000
Genpact,BC,UAE,testing,S4,175000,73,100,50,2021,6000
Zogho,LM,Japan,testing,S5,100000,100,180,25,2017,3000
TATA,NN,US,consulting,S3,175000,78,120,15,2018,3000
Accenture,XX,Germany,testing,S3,125000,93,100,45,2020,3000
